run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
21.999	46.696	2.153	4.155	1.400
22.099	46.803	1.845	3.049	1.895
22.200	43.728	1.846	4.408	1.381
22.299	41.136	2.017	4.484	1.378
22.400	44.301	2.586	4.577	1.650
22.499	52.527	2.516	3.221	1.812
22.599	47.651	3.052	4.047	2.064
22.700	47.295	2.708	3.843	1.773
22.799	41.313	3.220	3.092	1.828
22.900	43.676	3.281	3.720	1.820
22.999	50.885	3.678	5.268	1.470
23.100	47.756	3.189	4.551	1.238
23.199	38.825	3.480	3.448	1.524
23.299	42.751	2.807	4.587	1.827
23.400	46.032	2.565	3.123	1.771
23.499	47.882	2.534	3.763	1.337
23.600	45.239	2.172	3.131	1.165
23.699	49.891	2.166	3.675	1.030
23.799	59.215	2.246	3.491	0.781
23.899	55.685	2.107	3.936	0.833
24.000	54.171	2.127	4.162	1.067
24.099	57.425	2.025	3.434	0.582
24.200	56.776	1.849	4.075	0.808
24.299	56.132	2.494	3.506	1.157
24.400	56.298	2.439	3.191	1.379
24.499	45.858	2.470	3.419	1.062
24.599	45.274	2.614	4.027	1.486
24.700	41.775	2.781	4.392	1.780
24.800	45.565	2.868	3.500	1.961
24.899	41.187	3.632	4.059	1.251
24.999	41.770	3.654	3.917	1.300
25.099	46.256	3.308	3.589	1.341
25.199	48.960	2.867	3.772	1.277
25.299	50.078	2.608	3.943	1.182
25.399	48.381	2.405	4.320	1.017
25.500	49.712	2.646	4.373	1.158
25.599	46.498	1.943	4.243	1.050
25.699	41.841	1.645	4.232	1.349
25.799	40.042	1.861	4.007	1.773
25.900	44.254	1.985	3.321	2.061
26.000	51.188	1.580	3.315	1.776
26.099	44.164	2.276	3.384	0.972
26.200	49.869	2.187	4.443	2.067
26.299	50.838	2.795	3.477	1.885
26.399	43.119	2.761	3.652	1.816
26.500	42.873	3.125	3.785	1.604
26.599	46.739	3.012	2.873	0.965
26.699	43.947	3.380	4.632	0.809
26.800	49.662	3.085	3.348	0.758
26.900	48.083	3.266	4.553	0.917
27.000	46.768	2.864	3.989	0.788
27.099	43.637	3.151	3.993	0.985
27.200	49.538	3.992	4.630	0.474
27.300	48.556	2.361	3.254	0.586
27.400	51.326	2.465	3.580	0.952
27.500	54.368	2.415	3.721	0.856
27.600	56.379	2.156	4.099	1.462
27.700	51.606	1.891	4.361	1.723
27.799	57.781	1.794	3.532	1.534
27.899	43.725	1.467	3.507	1.518
27.999	45.030	1.755	4.298	1.130
28.099	47.099	2.153	4.466	1.486
28.199	44.599	2.441	4.026	1.372
28.299	46.335	2.764	3.582	1.924
28.399	49.756	3.157	3.419	1.855
28.499	45.514	2.818	3.273	1.691
28.599	45.466	2.917	4.649	2.032
28.699	42.514	3.121	3.013	2.349
28.799	43.992	3.376	3.054	1.023
28.900	39.701	3.382	3.457	1.403
28.999	43.920	3.782	4.161	1.623
29.099	42.792	2.940	3.203	1.740
29.200	46.747	2.729	3.581	1.458
29.299	43.506	2.808	3.883	0.954
29.399	47.030	2.280	3.672	1.088
29.499	41.217	1.877	4.056	0.781
29.599	42.479	2.005	3.728	1.040
29.700	42.199	2.089	3.550	0.982
29.799	44.583	1.842	3.715	1.072
29.899	53.421	2.342	3.857	1.085
30.000	47.888	2.604	5.160	0.836
30.099	50.222	3.380	3.600	0.964
30.198	48.365	2.318	4.435	1.095
30.299	48.433	2.422	3.335	1.214
30.399	44.497	2.630	4.596	1.414
30.499	49.743	2.726	3.740	1.744
30.600	41.016	3.180	4.012	1.339
30.699	42.291	3.808	4.208	1.455
30.799	46.153	3.317	4.116	1.212
30.899	45.254	3.169	3.255	1.623
30.999	41.913	2.618	3.175	1.307
31.099	50.613	2.520	3.481	1.212
31.199	41.523	2.237	3.747	0.566
31.299	39.831	2.490	3.566	0.808
31.400	50.245	1.697	4.453	1.929
31.499	46.450	1.913	3.714	1.033
31.599	44.581	1.761	4.497	1.659
31.699	45.658	1.747	5.771	1.975
31.799	43.741	1.670	4.724	1.543
31.899	46.358	2.609	4.159	1.605
31.999	41.399	2.437	4.152	1.648
32.099	47.982	2.955	4.125	1.719
32.199	58.277	2.917	5.527	1.794
32.299	56.452	2.959	3.915	1.265
32.399	63.352	2.814	4.501	1.035
32.499	54.653	3.232	4.084	0.964
32.599	53.470	3.282	4.481	0.753
32.699	41.442	3.079	4.320	1.045
32.799	47.631	2.810	5.027	1.227
32.900	36.626	2.630	2.927	0.659
33.000	48.362	2.066	3.436	0.768
33.099	45.351	2.339	3.743	0.755
33.200	50.702	2.219	3.584	0.573
33.299	47.568	1.962	4.517	1.056
33.399	45.997	1.670	3.844	1.665
33.498	44.714	2.052	5.875	1.555
33.599	49.159	2.266	4.248	1.679
33.699	47.033	1.788	3.499	1.720
33.799	53.072	2.198	3.070	1.083
33.900	47.735	2.674	4.197	1.654
33.999	46.679	2.699	3.439	1.844
34.099	47.965	2.765	3.160	2.034
34.199	51.838	3.240	4.375	2.149
34.298	51.727	3.336	3.058	1.726
34.399	46.875	3.314	3.323	2.013
34.499	43.804	3.310	4.198	1.741
34.599	43.084	3.127	3.981	1.402
34.699	47.052	2.940	3.657	1.744
34.799	52.220	3.333	3.140	1.917
34.900	54.706	2.484	3.383	1.381
34.999	54.405	2.233	4.370	1.302
35.099	58.109	2.259	4.107	1.017
35.199	56.404	2.046	4.566	0.894
35.299	48.251	2.364	3.078	1.153
35.399	53.324	2.021	3.122	1.219
35.499	52.971	1.840	4.037	0.884
35.599	51.705	1.890	3.555	0.830
35.698	51.757	2.314	3.916	0.996
35.799	52.280	2.603	4.569	1.031
35.899	55.251	1.094	4.737	1.442
35.999	45.703	2.851	3.774	1.254
36.099	49.061	2.727	4.670	1.487
36.199	48.107	2.954	3.175	1.685
36.299	47.384	3.103	3.888	2.103
36.399	48.438	3.102	3.861	1.370
36.498	47.549	3.580	3.064	1.354
36.599	49.027	2.675	3.572	1.359
36.700	37.811	2.622	4.003	1.798
36.799	44.169	2.961	3.981	1.229
36.900	40.523	2.264	4.720	1.227
36.999	47.215	2.057	3.550	1.017
37.099	49.603	2.218	3.676	0.867
37.199	54.544	1.863	4.534	1.367
37.299	48.220	1.798	3.336	1.397
37.400	41.053	1.678	4.485	1.796
37.500	49.697	1.940	4.488	1.385
37.599	44.103	1.810	3.221	1.230
37.699	49.182	2.732	3.811	1.083
37.799	39.537	2.382	4.292	1.324
37.899	47.806	2.657	4.275	1.664
37.999	52.896	3.080	4.144	1.772
38.100	48.439	2.993	3.197	0.797
38.200	44.319	3.013	3.316	0.801
38.298	48.912	3.770	4.545	0.751
38.399	49.617	3.258	3.876	0.633
38.498	50.620	2.964	3.819	1.046
38.598	47.249	2.662	4.245	0.993
38.698	50.060	2.735	3.651	0.839
38.799	37.497	2.548	4.548	0.826
38.899	38.899	2.113	4.029	0.832
38.999	38.137	2.312	4.506	0.749
39.099	40.613	1.893	4.028	0.932
39.199	43.600	1.887	3.331	1.751
39.299	44.950	1.668	3.391	2.027
39.399	48.791	2.257	4.602	2.099
39.499	46.600	2.350	3.870	1.355
39.599	45.425	2.482	4.729	1.485
39.699	43.077	3.070	3.074	1.592
39.799	45.483	2.778	3.481	1.879
39.899	48.790	3.100	3.853	1.850
39.998	44.745	3.732	3.543	1.873
40.100	41.074	3.197	4.090	1.536
40.199	44.010	3.240	3.770	1.803
40.300	46.074	2.731	3.479	1.147
40.400	43.833	2.763	3.631	1.546
40.498	42.578	2.517	3.591	1.533
40.599	44.007	2.928	3.867	1.370
40.698	41.210	2.254	3.595	1.308
40.799	46.971	2.399	4.133	1.083
40.898	46.700	1.827	3.361	0.831
40.998	44.792	1.851	3.568	0.936
41.099	45.223	1.344	4.997	0.672
41.199	47.960	2.353	3.938	0.655
41.299	44.655	2.164	4.401	0.625
41.399	43.630	2.457	3.427	1.068
41.499	53.990	2.679	3.848	0.923
41.599	50.744	2.844	4.616	1.005
41.698	48.031	2.641	4.102	1.233
41.799	52.149	2.846	4.580	1.559
41.899	47.499	3.160	3.646	1.628
41.999	44.230	3.155	3.940	1.822
42.098	46.014	3.179	3.550	1.835
42.199	40.126	3.129	3.060	1.449
42.299	47.101	3.266	3.411	1.283
42.399	41.780	2.505	4.158	1.536
42.499	55.102	2.376	4.248	1.448
42.598	51.047	2.626	3.414	1.562
42.699	52.984	2.047	4.547	0.657
42.798	61.298	2.425	3.646	0.982
42.899	59.281	2.288	3.178	0.797
42.999	50.981	1.794	4.693	1.815
43.098	56.832	2.014	5.117	1.608
43.200	51.996	2.547	5.777	1.892
43.298	67.504	2.661	3.558	1.405
43.399	64.089	2.609	4.297	1.318
43.498	56.739	3.027	4.569	1.633
43.599	55.401	3.007	4.236	2.028
43.699	58.821	3.035	3.893	1.905
43.798	54.534	3.355	4.564	1.639
43.899	58.804	3.692	4.223	1.146
43.999	50.408	3.503	4.071	1.125
44.099	56.964	3.515	3.434	1.035
44.200	59.411	3.031	3.496	0.824
44.299	48.350	2.559	4.359	0.877
44.400	45.513	2.493	4.413	0.829
44.499	42.624	1.938	3.091	0.668
44.599	39.737	1.802	3.519	0.708
44.699	39.345	1.868	3.679	0.804
44.799	37.797	1.619	3.449	1.253
44.900	44.072	1.947	3.848	1.307
45.000	43.538	2.063	3.714	1.446
45.099	48.780	1.975	4.130	1.625
45.199	48.290	2.955	3.276	1.686
45.298	45.667	2.530	3.470	1.125
45.399	48.401	2.462	2.804	1.232
45.499	41.645	2.916	3.449	2.276
45.599	45.358	2.882	4.245	2.269
45.698	51.423	3.517	4.371	2.234
45.799	54.037	3.744	3.878	1.770
45.899	62.972	3.370	4.355	1.619
45.999	47.825	3.270	3.924	1.645
46.098	49.985	3.102	4.438	1.167
46.199	48.367	2.595	4.221	1.687
46.299	44.808	2.659	4.445	1.603
46.399	46.360	2.172	3.586	1.370
46.498	41.230	2.210	3.992	1.319
46.598	43.583	2.167	4.842	1.072
46.698	46.393	1.741	4.405	1.905
46.799	50.106	2.139	3.369	1.375
46.899	48.300	2.052	4.039	1.497
46.998	51.835	2.140	5.025	1.321
47.098	49.346	2.461	4.513	1.158
47.198	44.942	2.691	4.625	0.792
47.299	41.081	2.883	3.043	1.675
47.399	45.165	3.054	4.430	1.505
47.500	46.502	2.984	3.940	2.070
47.598	44.825	3.244	4.379	2.149
47.698	42.314	3.073	3.017	1.772
47.799	38.226	2.750	3.534	1.647
47.900	40.526	2.558	4.164	1.674
47.998	42.414	2.280	3.215	1.318
48.099	46.814	2.521	4.385	1.614
48.199	44.594	2.106	2.878	1.893
48.299	44.985	2.081	4.195	1.693
48.399	46.490	2.372	4.290	1.080
48.498	51.590	2.111	4.163	0.596
48.599	45.411	1.551	3.220	1.092
48.700	49.016	2.007	3.163	1.239
48.799	51.147	1.882	3.490	1.561
48.899	50.721	2.326	4.422	1.752
48.999	51.152	2.654	4.360	1.745
49.099	44.538	2.621	3.883	1.105
49.199	48.603	2.851	4.088	1.734
49.300	51.585	3.427	3.140	1.820
49.399	52.981	3.133	4.339	2.083
49.498	52.154	3.243	3.265	2.300
49.598	46.514	3.355	3.068	1.448
49.699	45.944	3.334	3.096	2.355
49.799	39.538	2.900	4.040	1.201
49.899	39.530	2.711	4.469	1.368
49.999	38.692	2.776	4.076	1.230
50.100	43.652	2.563	3.267	1.480
50.198	40.874	2.631	3.932	1.135
50.300	49.221	2.250	4.374	0.745
50.400	52.785	1.828	4.188	0.698
50.498	46.091	1.867	3.700	1.693
50.599	39.256	1.819	4.470	1.390
50.699	46.242	1.969	4.615	1.665
50.799	50.796	1.898	3.232	1.905
50.900	50.384	2.108	3.075	1.524
50.998	47.278	2.779	4.278	1.402
51.099	43.426	2.563	4.126	1.670
51.199	46.796	2.947	3.301	1.824
51.298	44.070	3.240	3.053	1.907
51.399	42.805	3.182	4.203	2.160
51.499	52.269	3.313	3.575	1.699
51.600	47.110	3.361	3.823	1.986
51.699	46.767	3.135	4.411	1.381
51.799	43.701	2.610	3.135	1.350
51.899	47.274	2.315	4.037	1.535
52.000	50.669	2.369	4.269	1.723
52.099	48.767	2.412	3.157	1.454
52.198	38.351	2.596	4.239	1.398
52.298	41.901	1.869	3.470	0.654
52.398	45.412	2.076	4.138	0.911
52.500	44.469	1.882	3.774	0.938
52.598	48.158	1.766	3.786	0.984
52.699	42.306	1.851	3.727	0.870
52.799	44.194	2.631	3.663	0.959
52.899	47.327	2.228	4.401	0.804
52.999	41.108	2.618	3.433	0.960
53.098	41.796	2.879	4.509	0.885
53.198	55.543	2.972	3.963	1.492
53.300	43.087	3.214	3.350	1.667
53.398	47.553	3.140	4.570	1.773
53.498	40.159	2.847	4.052	1.628
53.598	42.559	2.951	4.313	1.653
53.698	39.205	2.541	3.586	1.356
53.800	41.274	2.172	3.426	1.430
53.899	43.395	2.367	2.989	1.364
53.999	47.930	1.700	3.125	1.683
54.100	44.947	1.969	3.663	1.007
54.198	46.629	1.855	3.304	0.614
54.299	48.871	1.818	3.996	0.847
54.399	47.578	1.580	4.251	0.844
54.498	52.476	2.242	3.845	1.657
54.599	45.941	2.468	4.717	1.505
54.698	51.478	2.568	3.954	1.651
54.798	45.214	2.737	4.696	1.344
54.899	44.263	3.200	6.265	1.641
54.998	43.665	3.070	3.682	1.863
55.099	44.107	3.952	4.277	1.901
55.198	52.622	3.337	3.586	1.785
55.299	40.551	3.329	3.464	1.012
55.399	39.255	3.060	3.178	0.891
55.498	39.275	3.042	4.305	0.832
55.599	37.119	2.508	4.075	0.664
55.699	46.391	2.669	3.589	0.756
55.800	40.450	2.328	3.502	0.969
55.899	44.851	2.346	4.069	0.812
56.000	42.028	1.848	4.513	1.093
56.099	39.650	1.566	3.640	1.002
56.198	44.706	1.651	3.843	1.003
56.299	47.810	1.842	3.238	0.953
56.399	42.063	2.155	4.554	1.419
56.499	42.553	2.274	4.447	1.697
56.599	41.716	2.408	2.996	1.387
56.698	49.726	2.486	4.101	1.036
56.799	47.574	3.361	4.368	1.147
56.900	43.939	2.844	4.089	1.359
56.998	41.760	3.006	5.680	2.053
57.098	43.673	3.262	4.170	1.940
57.199	44.759	3.092	4.326	1.536
57.298	50.150	3.037	3.676	1.712
57.399	51.457	3.116	4.441	1.801
57.499	64.441	2.523	3.449	0.989
57.598	52.824	2.556	4.771	1.514
57.698	53.206	2.526	4.543	1.448
57.799	56.165	2.723	4.165	1.666
57.899	54.475	2.244	3.883	0.986
57.999	53.906	2.523	4.186	0.892
58.100	64.013	1.803	4.473	1.188
58.198	59.034	1.685	4.374	0.951
58.299	59.272	1.612	4.475	1.315
58.399	57.871	2.058	3.914	0.724
58.500	54.203	2.296	3.514	0.872
58.598	61.521	3.010	3.388	1.157
58.699	61.499	2.883	3.853	1.465
