run 0						
time	12V rail	5V rail	3,3V rail	POWER 12V	POWER 5V	POWER 3,3V
18.101	11.268	0.713	1.512	0.259	-0.633	-2.201
18.200	11.267	0.712	1.513	-0.140	-0.630	-0.584
18.300	11.268	0.713	1.513	-0.612	-0.629	0.912
18.400	11.269	0.713	1.515	0.368	-0.622	2.870
18.500	11.268	0.712	1.512	0.150	-0.628	5.222
18.600	11.269	0.714	1.513	0.259	-0.627	7.958
18.701	11.269	0.713	1.513	-0.249	-0.629	10.192
18.800	11.270	0.714	1.513	0.041	-0.627	12.047
18.900	11.267	0.712	1.512	-0.067	-0.635	12.202
19.001	11.268	0.712	1.512	-0.140	-0.626	13.662
19.100	11.267	0.712	1.512	0.078	-0.628	15.184
19.200	11.270	0.714	1.514	0.041	-0.630	17.053
19.300	11.266	0.710	1.512	-0.067	-0.631	18.508
19.400	11.269	0.713	1.514	-0.067	-0.632	19.437
19.501	11.270	0.714	1.513	0.332	-0.639	19.750
19.600	11.267	0.711	1.512	1.348	-0.600	20.523
19.700	11.266	0.710	1.510	1.638	-0.636	21.153
19.800	11.267	0.712	1.512	1.965	-0.614	21.779
19.901	11.266	0.710	1.511	1.602	-0.611	22.539
20.000	11.267	0.711	1.511	1.638	-0.595	24.228
20.100	11.265	0.709	1.509	1.166	-0.587	24.591
20.200	11.264	0.708	1.509	0.985	-0.586	24.561
20.301	11.262	0.706	1.507	2.182	-0.575	24.336
20.400	11.261	0.705	1.508	1.347	-0.576	24.109
20.500	11.263	0.707	1.510	1.384	-0.578	23.833
20.600	11.264	0.708	1.510	0.404	-0.595	22.739
20.700	11.265	0.709	1.510	1.275	-0.582	21.873
20.800	11.265	0.709	1.510	1.239	-0.596	22.053
20.900	11.264	0.708	1.511	1.239	-0.588	21.191
21.000	11.265	0.709	1.511	1.094	-0.589	21.585
21.101	11.267	0.711	1.513	0.912	-0.600	20.828
21.200	11.263	0.707	1.509	1.456	-0.599	18.801
21.300	11.266	0.710	1.512	1.130	-0.610	16.341
21.401	11.265	0.709	1.511	1.166	-0.605	14.292
21.500	11.265	0.709	1.511	1.493	-0.614	12.168
21.600	11.263	0.707	1.510	1.311	-0.612	10.533
21.700	11.263	0.707	1.511	1.057	-0.608	9.027
21.800	11.262	0.706	1.510	0.912	-0.598	7.718
21.900	11.262	0.706	1.510	1.093	-0.598	6.528
22.000	11.260	0.705	1.508	1.565	-0.603	5.271
22.100	11.260	0.705	1.508	0.731	-0.599	3.673
22.201	11.261	0.705	1.509	1.093	-0.608	2.018
22.300	11.263	0.707	1.512	1.239	-0.608	0.283
22.401	11.262	0.706	1.511	0.876	-0.612	-1.829
22.500	11.262	0.707	1.510	1.420	-0.607	-4.260
22.601	11.263	0.707	1.511	1.166	-0.622	-7.085
22.701	11.264	0.708	1.512	1.602	-0.616	-9.469
22.800	11.266	0.710	1.513	1.239	-0.601	-11.086
22.900	11.266	0.710	1.513	0.404	-0.610	-11.595
23.000	11.266	0.710	1.513	1.312	-0.611	-13.035
23.100	11.266	0.710	1.512	1.457	-0.610	-14.708
23.200	11.264	0.708	1.511	1.384	-0.611	-16.631
23.301	11.267	0.711	1.513	1.566	-0.621	-18.078
23.401	11.268	0.712	1.513	1.493	-0.605	-18.687
23.500	11.267	0.712	1.513	1.384	-0.619	-19.185
23.601	11.267	0.711	1.512	1.130	-0.614	-20.438
23.700	11.267	0.711	1.512	1.275	-0.602	-20.322
23.800	11.268	0.713	1.512	0.985	-0.601	-21.057
23.900	11.268	0.712	1.512	1.094	-0.617	-22.231
24.000	11.269	0.713	1.513	0.985	-0.608	-23.907
24.101	11.268	0.713	1.513	0.949	-0.608	-24.302
24.201	11.268	0.712	1.512	1.348	-0.612	-23.999
24.300	11.267	0.712	1.511	1.312	-0.596	-23.725
24.400	11.268	0.713	1.512	1.094	-0.601	-23.672
24.501	11.267	0.712	1.511	0.767	-0.589	-22.562
24.601	11.269	0.713	1.512	1.130	-0.585	-21.495
24.701	11.268	0.712	1.511	0.731	-0.580	-20.708
24.801	11.268	0.713	1.513	1.094	-0.587	-20.846
24.901	11.268	0.712	1.512	1.021	-0.585	-21.592
25.001	11.268	0.713	1.513	1.312	-0.583	-20.641
25.100	11.268	0.713	1.512	1.711	-0.567	-18.685
25.201	11.265	0.709	1.511	1.783	-0.562	-16.811
25.301	11.267	0.711	1.511	1.747	-0.556	-14.184
25.400	11.269	0.713	1.514	0.913	-0.553	-12.278
25.501	11.269	0.714	1.513	1.421	-0.554	-10.257
25.600	11.268	0.712	1.512	1.203	-0.557	-8.655
25.700	11.268	0.712	1.512	1.167	-0.548	-6.757
25.801	11.270	0.714	1.514	1.239	-0.565	-6.041
25.901	11.267	0.712	1.512	1.348	-0.557	-4.640
26.001	11.267	0.712	1.511	1.094	-0.550	-2.803
26.101	11.268	0.712	1.511	1.566	-0.541	-1.114
26.201	11.269	0.714	1.512	0.949	-0.554	0.415
26.299	11.266	0.710	1.510	1.058	-0.540	2.549
26.401	11.265	0.709	1.508	1.457	-0.536	5.116
