run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
23.300	57.297	3.121	4.902	0.882
23.400	56.319	3.664	4.013	1.468
23.500	62.916	3.217	3.520	1.849
23.601	60.356	3.483	4.307	2.284
23.700	52.401	3.556	3.629	2.281
23.800	62.104	2.701	4.794	2.056
23.900	54.487	4.195	4.675	2.355
23.999	57.612	2.643	3.215	2.743
24.100	53.269	3.233	3.280	2.276
24.199	51.489	4.032	4.820	2.147
24.300	57.090	3.430	3.351	2.110
24.401	50.395	3.515	3.283	1.824
24.500	57.387	3.098	3.350	1.130
24.600	53.096	3.674	3.377	1.422
24.701	57.495	2.619	4.480	1.874
24.800	56.189	3.401	4.498	1.547
24.901	53.392	2.416	4.971	1.925
25.000	52.757	3.448	3.688	0.823
25.099	63.560	3.355	4.496	1.099
25.200	61.040	3.605	3.789	1.612
25.301	55.156	3.982	4.113	1.382
25.400	53.402	3.220	4.503	1.765
25.501	57.660	4.364	3.915	2.215
25.600	58.821	2.852	4.431	1.358
25.699	57.979	2.970	4.249	1.054
25.799	55.254	4.126	4.216	1.736
25.900	57.631	5.687	3.811	1.536
26.000	61.558	2.966	3.296	1.888
26.099	55.154	3.565	4.055	1.656
26.199	60.441	3.247	3.777	1.714
26.300	58.935	3.504	3.585	1.609
26.400	56.745	4.118	3.394	1.463
26.500	58.735	2.369	3.668	1.412
26.600	61.024	3.609	3.871	1.849
26.699	56.807	2.343	3.843	1.648
26.800	61.849	2.726	3.325	1.000
26.901	59.166	3.367	3.584	0.983
27.000	56.046	4.137	3.611	0.951
27.101	55.718	4.397	3.821	1.765
27.200	52.808	3.374	4.353	1.486
27.301	59.140	3.931	4.558	1.643
27.401	62.902	3.337	4.193	1.891
27.501	61.340	3.685	4.600	1.317
27.601	51.001	3.516	4.128	1.343
27.700	63.196	3.039	3.955	1.894
27.800	53.791	4.280	4.529	2.162
27.899	51.544	3.041	3.567	1.622
28.000	65.474	3.334	5.002	1.361
28.101	57.166	4.411	4.365	1.604
28.200	62.394	2.784	3.711	1.395
28.300	56.486	4.014	3.931	1.277
28.400	53.712	3.053	4.399	1.105
28.501	63.565	3.795	4.092	0.955
28.600	58.466	3.004	4.993	1.524
28.699	50.349	3.666	3.643	0.954
28.800	59.216	3.397	3.299	1.216
28.901	58.457	3.048	4.655	1.197
29.000	59.409	3.876	4.774	1.252
29.100	54.140	2.460	4.466	1.774
29.199	58.811	3.296	3.294	1.812
29.299	57.640	2.858	4.645	2.018
29.401	58.755	2.429	4.508	1.434
29.499	52.333	3.123	3.966	1.508
29.601	57.238	3.323	3.502	1.888
29.699	55.823	3.033	3.545	2.206
29.801	67.634	2.966	3.994	1.290
29.900	58.274	3.532	3.803	1.611
30.000	66.396	2.826	4.621	1.345
30.100	60.608	3.816	4.144	1.631
30.200	60.150	2.417	3.659	1.733
30.301	56.799	3.616	4.485	1.671
30.400	57.518	2.870	3.721	1.783
30.501	58.791	2.976	3.700	1.396
30.600	56.616	3.651	4.269	0.833
30.701	58.758	3.573	3.572	0.942
30.801	52.720	4.058	3.592	0.795
30.901	56.569	2.969	3.651	1.010
31.000	60.401	3.983	4.056	1.350
31.101	57.003	3.299	4.406	0.834
31.200	58.749	3.531	3.972	0.735
31.300	59.028	5.233	4.395	0.770
