run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
22.600	27.802	4.823	0.725	0.545
22.699	34.662	2.844	0.986	1.349
22.800	30.380	4.426	0.777	0.209
22.901	32.819	3.680	0.886	0.052
23.000	25.258	3.662	0.739	1.665
23.100	37.585	4.215	0.989	3.422
23.199	39.995	3.429	0.889	1.454
23.299	33.804	3.716	0.910	0.215
23.400	42.352	3.172	1.002	0.068
23.500	32.062	4.385	0.903	0.700
23.599	27.478	4.499	0.806	0.433
23.700	38.172	3.187	0.968	0.921
23.799	29.111	4.633	0.726	0.278
23.900	35.126	3.988	1.075	0.628
24.001	26.705	4.506	0.833	0.236
24.100	53.813	3.849	1.085	0.624
24.200	33.027	3.387	0.898	0.456
24.300	29.381	4.168	0.812	0.208
24.399	36.541	4.721	0.824	0.248
24.499	29.914	3.894	0.815	0.466
24.600	29.835	5.089	0.798	1.029
24.699	36.263	2.670	0.956	1.129
24.800	28.907	3.900	0.768	0.444
24.900	34.046	4.689	0.873	0.463
25.000	41.597	3.371	0.928	0.255
25.101	32.840	3.538	0.833	0.071
25.200	36.081	4.308	0.955	1.981
25.299	36.234	3.737	0.955	2.244
25.400	43.090	3.798	0.896	0.992
25.500	29.724	3.860	0.800	0.383
25.600	39.783	5.293	1.025	1.267
25.700	43.541	2.936	1.027	1.238
25.799	31.170	4.968	0.747	0.326
25.899	39.883	3.874	1.031	1.508
26.001	39.878	3.836	0.830	0.763
26.100	39.307	4.286	1.053	1.099
26.200	34.369	4.210	0.828	0.918
26.299	38.884	4.825	0.990	1.279
26.399	39.232	3.764	1.019	0.716
26.501	25.334	4.767	0.713	0.329
26.599	41.095	4.614	0.790	1.895
26.700	37.542	5.241	0.909	1.142
26.799	25.813	3.032	0.706	0.278
26.899	32.428	4.837	0.786	0.083
26.999	27.585	3.780	0.683	1.370
27.099	29.449	5.290	0.769	0.226
27.199	36.967	4.065	1.038	1.725
27.300	28.777	4.063	0.774	0.419
27.400	41.794	4.534	0.947	0.249
27.499	27.816	4.557	0.694	0.557
27.599	33.289	5.578	0.897	1.285
27.700	38.377	4.188	0.947	0.646
27.799	37.723	4.963	0.973	0.422
27.901	32.719	4.509	0.728	0.122
28.000	29.523	3.339	0.916	0.978
28.101	29.779	2.858	0.725	0.312
28.200	29.176	4.831	0.753	0.335
28.300	40.639	4.145	0.974	2.057
28.399	39.148	3.453	0.970	1.234
28.500	24.706	2.663	0.746	0.380
28.600	35.010	3.821	0.839	2.587
28.700	38.187	4.390	0.957	0.978
28.800	32.929	4.486	0.710	0.188
28.900	36.563	4.209	0.940	1.529
29.000	44.062	4.177	1.020	1.299
29.100	47.077	3.364	1.044	0.648
29.200	41.188	3.745	1.029	0.206
29.300	35.939	4.210	1.113	2.021
29.400	45.433	4.783	1.027	0.902
29.500	41.098	4.887	0.908	1.728
29.599	26.564	3.495	0.697	0.033
29.699	37.655	4.909	0.986	1.006
29.800	54.802	5.202	1.018	1.092
29.901	43.549	4.375	1.041	0.495
29.999	26.888	3.373	0.754	0.304
30.100	40.790	3.736	1.048	1.760
30.201	37.868	4.884	1.014	0.564
30.299	36.938	3.053	0.933	1.281
30.400	37.566	3.566	0.907	1.129
30.500	23.352	4.866	0.736	0.371
30.600	36.966	5.137	0.845	1.339
30.700	28.431	4.720	0.919	0.162
30.800	32.294	4.910	0.884	0.208
30.899	42.973	3.916	0.971	0.736
31.001	39.500	4.341	0.945	0.849
31.100	47.961	5.071	1.154	1.815
31.200	34.256	2.924	0.743	0.519
31.299	37.188	3.362	0.814	0.135
31.401	39.891	3.881	1.035	1.063
31.500	26.552	3.999	0.787	0.015
31.600	27.532	4.730	0.679	0.216
31.700	35.926	4.218	0.943	1.098
31.799	28.108	4.193	0.667	0.166
31.899	36.095	3.844	1.021	0.219
32.000	28.096	4.098	0.670	0.239
32.100	36.177	4.587	0.779	0.628
32.199	45.332	4.983	1.024	1.763
32.299	22.496	3.277	0.645	0.312
32.400	44.550	4.316	1.138	0.715
32.500	40.297	5.080	1.070	1.107
32.600	39.664	3.620	1.038	1.836
32.700	25.395	4.618	0.845	0.073
32.800	37.926	4.480	1.035	1.109
32.900	43.342	3.784	0.891	0.281
33.000	42.819	5.466	1.090	1.747
33.100	35.851	3.508	0.875	0.182
33.200	37.006	4.037	0.916	0.211
33.300	28.445	4.342	0.700	0.581
33.399	31.639	4.153	0.718	0.151
33.500	41.572	3.529	0.952	0.810
33.599	39.178	4.692	0.967	0.352
33.700	39.747	3.687	0.981	1.655
33.800	37.990	4.844	0.979	1.332
33.900	33.554	4.772	0.953	2.102
34.001	31.302	3.786	0.789	0.330
34.100	27.839	3.781	0.676	0.170
34.201	29.170	3.721	0.825	0.298
34.300	28.787	4.692	0.762	0.170
34.400	36.121	4.286	0.806	0.212
34.499	30.595	3.184	0.650	0.175
34.601	33.102	3.273	0.809	0.088
34.699	41.601	3.678	0.965	1.800
34.800	27.289	3.481	0.855	0.803
34.899	39.029	4.443	0.995	0.703
34.999	37.537	4.144	0.974	1.401
35.100	47.719	3.667	1.066	0.586
35.200	40.148	5.030	1.006	1.079
35.300	33.304	3.549	0.758	0.269
35.400	38.620	2.682	0.798	0.273
35.499	41.963	4.615	0.903	0.139
35.599	25.907	3.356	0.683	0.032
35.700	36.265	3.940	0.974	0.686
35.799	27.819	5.104	0.877	0.369
35.900	42.245	4.548	0.892	0.236
36.001	34.744	3.703	0.900	4.318
36.100	41.853	5.040	0.974	1.845
36.200	45.617	4.378	0.978	0.249
36.300	34.447	3.064	0.726	0.097
36.400	31.691	3.842	0.883	0.758
36.499	42.311	4.788	1.083	1.197
36.600	29.440	4.527	0.807	0.413
36.699	41.614	2.378	0.899	1.311
36.799	28.546	3.007	0.681	0.018
36.900	40.499	4.433	1.009	1.420
36.999	37.813	4.183	0.994	0.051
37.099	24.571	4.945	0.780	0.295
37.200	40.850	2.919	0.988	0.409
37.299	31.666	5.357	0.886	1.233
37.400	38.960	3.363	0.999	1.377
37.500	39.357	3.998	0.973	0.686
37.600	28.229	5.106	0.764	0.199
37.700	40.581	4.146	1.004	0.416
37.799	39.453	4.145	0.949	1.436
37.900	40.774	4.685	1.003	2.564
37.999	21.201	3.914	0.744	0.104
