run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
37.699	53.293	3.188	3.907	1.480
37.799	50.756	3.156	4.497	1.563
37.899	50.920	2.880	3.826	1.372
37.999	49.039	2.513	3.834	1.159
38.099	53.968	3.206	3.821	1.098
38.199	51.410	2.442	4.636	1.439
38.299	50.468	2.270	3.237	1.751
38.399	48.132	2.279	4.773	2.038
38.499	54.179	1.686	4.469	1.672
38.599	48.189	1.913	4.592	1.725
38.699	52.007	1.857	3.112	1.722
38.799	46.790	1.790	3.967	1.267
38.899	50.999	2.491	5.063	1.321
38.999	61.715	2.310	3.615	1.585
39.099	53.191	2.670	4.008	1.530
39.199	59.675	2.581	3.745	1.136
39.299	49.616	3.113	3.740	0.581
39.399	51.294	3.136	4.613	0.972
39.499	55.118	3.148	4.061	1.174
39.599	54.034	3.410	4.126	1.411
39.698	49.680	3.486	4.770	1.672
39.799	53.835	3.164	3.487	1.625
39.899	55.026	2.914	3.424	1.551
39.999	53.053	2.900	3.411	1.047
40.099	54.797	2.656	3.175	1.414
40.199	47.780	2.211	4.486	2.034
40.299	49.611	2.135	4.661	1.986
40.399	51.125	1.875	3.488	1.980
40.498	49.376	1.999	4.255	1.446
40.599	54.622	1.891	4.430	1.562
40.698	52.343	2.043	4.812	0.986
40.798	50.854	2.099	4.646	1.189
40.899	50.477	2.225	3.982	1.498
40.999	52.217	2.891	3.295	1.472
41.099	50.437	2.797	4.137	1.367
41.199	50.421	2.649	3.282	0.844
41.299	49.423	3.167	3.122	0.592
41.400	40.284	3.300	4.465	0.899
41.499	48.594	3.638	4.184	1.145
41.599	57.716	3.727	3.834	1.585
41.699	50.330	2.943	4.254	1.527
41.799	47.167	2.800	3.046	2.180
41.899	43.587	2.565	3.620	1.022
41.999	48.004	2.503	3.221	1.117
42.099	48.612	2.638	4.572	1.726
42.199	43.007	2.414	3.192	2.173
42.300	45.926	2.190	4.047	1.917
42.399	43.054	1.935	3.113	1.868
42.499	51.052	1.780	4.084	1.891
42.599	51.803	2.002	3.746	1.804
42.699	52.952	2.002	3.076	1.460
42.798	47.462	2.443	3.138	1.373
42.899	61.411	2.464	3.257	1.477
42.999	51.859	2.652	4.434	1.281
43.099	52.063	2.966	3.098	1.208
43.199	55.655	3.258	3.730	0.988
43.299	47.759	3.111	3.068	0.706
43.399	52.382	3.010	3.510	0.682
43.499	57.541	3.186	4.047	0.991
43.599	52.774	3.455	4.110	0.794
43.699	49.939	2.771	3.862	0.746
43.799	55.381	2.950	3.758	0.529
43.899	48.774	2.864	3.552	0.712
43.998	46.832	2.411	3.594	1.127
44.098	49.249	2.785	3.106	1.103
44.199	47.021	2.035	3.638	1.473
44.299	52.793	1.711	3.568	1.769
44.398	49.242	1.661	4.370	1.634
44.499	50.316	2.106	4.063	1.679
44.599	48.169	2.148	3.337	1.716
44.699	45.613	2.079	3.851	1.134
44.799	50.423	2.581	3.556	1.527
44.899	60.062	2.975	3.918	1.768
44.999	48.214	2.953	4.086	1.125
45.099	54.190	3.652	3.706	1.060
45.199	52.765	3.423	3.257	0.641
45.299	48.127	3.453	4.602	0.835
45.400	55.822	3.492	3.059	1.316
45.499	47.304	3.112	4.040	1.380
45.599	46.703	2.506	3.606	1.765
45.699	54.378	2.702	3.604	1.745
