run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
35.099	45.554	3.265	8.395	1.200
35.200	46.306	3.042	3.402	1.412
35.300	66.588	3.799	3.504	1.045
35.400	62.268	3.329	3.378	0.744
35.500	62.143	3.536	4.596	1.385
35.600	61.810	3.424	4.805	0.951
35.700	57.058	3.001	3.718	1.222
35.800	62.937	2.850	4.470	1.132
35.900	64.250	3.337	3.556	1.070
36.000	60.894	2.330	4.595	1.125
36.099	54.387	2.231	4.609	1.722
36.201	64.131	2.195	3.494	1.914
36.300	64.232	1.792	4.137	2.044
36.401	67.285	2.012	4.588	1.661
36.500	62.803	1.952	4.909	1.287
36.601	65.114	2.104	3.919	1.241
36.700	55.465	2.273	3.981	1.355
36.801	62.664	2.636	4.352	1.380
36.900	57.475	2.663	4.145	1.138
37.000	59.099	4.672	3.442	0.950
37.100	57.020	3.103	4.603	0.997
37.200	62.582	3.455	4.113	1.027
37.300	57.245	3.502	4.619	1.856
37.400	59.813	3.351	3.177	2.024
37.499	58.312	2.786	4.132	2.151
37.600	58.329	3.142	3.249	1.275
37.700	54.688	3.129	4.639	1.758
37.800	56.818	2.895	3.635	1.787
37.900	55.309	2.236	4.342	1.770
38.000	61.026	2.383	4.461	1.866
38.099	61.770	2.067	3.800	0.811
38.201	55.636	1.895	4.627	1.240
38.300	54.304	1.696	4.700	0.829
38.399	63.671	1.654	4.695	0.841
38.500	61.489	2.255	4.475	0.838
38.601	60.826	2.709	3.578	1.216
38.700	60.095	2.484	4.068	0.981
38.801	57.997	2.827	3.707	1.096
38.899	61.653	2.823	3.996	1.084
39.000	57.648	2.906	4.044	1.183
39.100	59.000	3.544	4.535	1.417
39.199	67.650	3.419	3.837	1.677
39.300	61.717	3.453	4.085	1.596
39.399	69.251	3.351	3.535	1.583
39.500	60.382	2.861	4.695	1.261
39.600	53.002	2.823	4.237	1.743
39.700	55.920	2.870	3.578	1.799
39.799	57.726	2.284	3.656	1.892
39.901	55.762	4.587	3.930	1.802
40.000	49.968	2.267	3.698	1.678
40.100	60.976	1.843	4.143	1.463
40.200	65.279	1.768	4.689	1.427
40.301	68.517	1.814	4.491	1.634
40.400	59.189	2.031	4.195	1.526
40.500	62.076	2.451	3.723	1.693
40.600	55.734	2.354	3.516	1.293
40.700	63.690	2.482	3.813	1.347
40.799	65.362	2.912	3.335	0.856
40.900	60.106	2.986	5.063	1.027
41.000	60.468	3.548	4.012	0.890
41.099	62.577	3.840	4.536	1.034
41.200	58.221	3.146	4.206	0.958
41.300	51.112	3.139	3.913	0.823
41.400	49.484	2.835	4.830	1.023
41.500	53.833	2.747	3.716	0.903
41.599	47.758	2.500	4.100	1.322
41.700	51.112	2.603	3.429	1.202
41.800	53.418	2.461	3.406	1.232
41.899	57.044	2.018	3.520	1.451
42.000	54.593	1.749	3.808	1.840
42.100	58.014	2.102	3.635	1.548
42.200	57.034	2.234	4.848	1.193
42.300	55.490	2.714	4.353	1.169
42.400	53.870	2.285	3.737	1.629
42.500	64.804	2.413	4.013	1.108
42.600	61.119	2.479	3.480	0.957
42.700	68.550	2.880	3.820	0.984
42.799	57.844	4.113	4.282	0.961
42.899	57.897	3.086	5.208	1.496
43.000	61.435	3.262	4.559	1.572
