run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
25.899	39.654	2.834	0.953	1.861
25.999	43.558	4.124	0.798	1.720
26.100	39.876	3.918	0.960	1.218
26.199	43.503	4.022	0.864	1.339
26.300	39.063	4.526	0.858	1.640
26.400	40.757	4.389	0.941	1.545
26.499	38.458	4.715	0.894	1.084
26.599	41.456	3.339	0.928	0.962
26.698	41.562	5.245	0.900	1.080
26.799	38.433	4.284	0.847	1.323
26.899	42.556	3.896	0.841	1.232
27.000	40.341	3.124	0.842	1.783
27.100	40.697	4.769	0.830	1.925
27.199	37.776	4.840	0.895	1.311
27.300	37.605	3.652	0.993	1.305
27.399	44.018	5.339	0.819	1.715
27.499	41.964	3.750	0.843	1.911
27.599	41.658	4.388	0.835	2.005
27.699	40.208	5.154	0.794	1.934
27.799	37.497	4.723	0.955	1.551
27.900	42.851	4.239	0.764	1.302
27.999	35.269	3.283	0.842	1.640
28.099	36.512	5.160	0.981	1.332
28.200	38.333	3.810	0.919	1.512
28.299	41.812	3.296	0.760	1.281
28.399	47.979	4.568	0.779	1.419
28.499	48.032	4.618	0.849	1.007
28.599	42.398	4.473	0.857	1.064
28.699	41.352	3.381	0.943	1.145
28.798	39.300	4.629	0.813	1.049
28.899	38.286	3.063	0.730	1.685
28.999	37.754	4.312	0.790	1.327
29.100	39.364	4.003	0.855	1.722
29.199	40.760	5.192	0.955	1.940
29.299	40.794	4.971	0.843	1.286
29.399	40.550	3.784	0.863	1.798
29.498	38.894	4.196	0.842	1.798
29.599	40.657	4.300	0.777	2.269
29.699	40.670	4.579	0.923	2.224
29.799	36.666	3.604	0.859	1.318
29.899	37.274	4.617	0.928	1.698
29.999	42.430	4.256	0.846	1.491
30.100	36.517	3.873	0.662	1.364
30.199	43.519	4.051	0.820	1.240
30.298	39.252	5.501	0.917	2.075
30.399	36.392	4.050	0.854	1.524
30.499	42.448	3.940	0.948	0.814
30.599	32.423	4.444	0.886	0.791
30.699	34.693	4.206	0.815	0.940
30.799	35.033	2.855	1.043	0.965
30.900	37.963	4.925	0.868	0.900
31.000	36.885	4.759	0.897	0.937
31.098	38.230	4.419	0.834	0.771
31.199	38.713	4.195	0.820	0.977
31.300	47.436	4.367	0.828	1.171
31.399	40.352	3.753	0.833	0.966
31.500	48.235	4.310	0.795	1.565
31.599	37.826	4.887	0.832	1.461
31.698	37.774	3.090	0.799	2.191
31.799	43.740	4.724	0.883	1.742
31.899	39.710	3.656	0.910	1.917
31.998	41.051	3.748	0.831	1.477
32.099	35.148	5.297	0.746	1.310
32.199	46.771	3.846	0.955	1.558
32.299	40.103	5.484	0.881	1.962
32.400	42.364	4.187	0.850	1.623
32.499	44.959	3.530	0.897	0.985
32.598	42.849	3.754	0.873	0.659
32.699	44.507	4.044	0.850	1.232
32.799	40.542	4.943	0.912	1.339
32.899	42.596	3.710	0.874	1.416
32.999	44.043	4.526	0.835	1.937
33.100	37.824	3.530	0.797	1.779
33.198	42.494	4.728	0.842	1.416
33.299	34.261	3.880	0.808	1.314
33.400	40.511	3.819	0.853	1.954
33.498	37.606	3.579	0.671	1.732
33.599	36.969	5.292	0.875	2.125
33.699	41.372	3.022	0.788	1.076
33.799	57.888	4.652	1.074	0.981
33.899	51.176	4.779	1.055	0.888
33.999	47.466	5.276	1.050	0.712
34.099	53.746	4.824	0.943	0.915
34.200	49.091	4.609	0.940	0.947
34.298	48.989	4.453	1.073	1.054
34.399	49.842	4.560	0.989	0.596
34.499	52.457	3.112	1.030	0.715
34.599	55.287	5.534	0.941	0.995
34.700	49.385	4.398	1.043	1.322
34.799	52.749	4.416	0.980	1.122
34.899	127.583	3.963	1.603	1.407
35.000	38.714	3.748	0.868	1.621
35.100	43.044	4.684	0.853	1.679
35.199	44.165	3.445	0.974	1.540
35.298	36.653	4.619	0.820	1.149
